央视,#genre#
CCTV1,http://123.121.167.231:8180/udp/239.3.1.129:8008
CCTV2,http://123.121.167.231:8180/udp/239.3.1.60:8084
CCTV3,http://123.121.167.231:8180/udp/239.3.1.172:8001
CCTV4,http://123.121.167.231:8180/udp/239.3.1.105:8092
CCTV5,http://123.121.167.231:8180/udp/239.3.1.173:8001
CCTV6,http://123.121.167.231:8180/udp/239.3.1.174:8001
CCTV7,http://123.121.167.231:8180/udp/239.3.1.61:8104
CCTV8,http://123.121.167.231:8180/udp/239.3.1.175:8001
CCTV9,http://123.121.167.231:8180/udp/239.3.1.62:8112
CCTV10,http://123.121.167.231:8180/udp/239.3.1.63:8116
CCTV11,http://123.121.167.231:8180/udp/239.3.1.152:8120
CCTV12,http://123.121.167.231:8180/udp/239.3.1.64:8124
CCTV13,http://123.121.167.231:8180/udp/239.3.1.124:8128
CCTV14,http://123.121.167.231:8180/udp/239.3.1.65:8132
CCTV15,http://123.121.167.231:8180/udp/239.3.1.153:8136
CCTV16,http://123.121.167.231:8180/udp/239.3.1.183:8001
CCTV16,http://123.121.167.231:8180/udp/239.3.1.184:8001
CCTV17,http://123.121.167.231:8180/udp/239.3.1.151:8144
CCTV5+,http://123.121.167.231:8180/udp/239.3.1.130:8004
CCTV1,http://223.10.20.174:8083/udp/239.1.1.7:8007
CCTV2,http://223.10.20.174:8083/udp/239.1.1.8:8008
CCTV3,http://223.10.20.174:8083/udp/239.1.1.9:8009
CCTV4,http://223.10.20.174:8083/udp/239.1.1.10:8010
CCTV5,http://223.10.20.174:8083/udp/239.1.1.11:8011
CCTV6,http://223.10.20.174:8083/udp/239.1.1.13:8013
CCTV7,http://223.10.20.174:8083/udp/239.1.1.14:8014
CCTV8,http://223.10.20.174:8083/udp/239.1.1.15:8015
CCTV9,http://223.10.20.174:8083/udp/239.1.1.16:8016
CCTV10,http://223.10.20.174:8083/udp/239.1.1.17:8017
CCTV11,http://223.10.20.174:8083/udp/239.1.1.18:8018
CCTV12,http://223.10.20.174:8083/udp/239.1.1.19:8019
CCTV13,http://223.10.20.174:8083/udp/239.1.1.20:8020
CCTV14,http://223.10.20.174:8083/udp/239.1.1.21:8021
CCTV15,http://223.10.20.174:8083/udp/239.1.1.22:8022
CCTV17,http://223.10.20.174:8083/udp/239.1.1.23:8023
CCTV5+,http://223.10.20.174:8083/udp/239.1.1.12:8012
CCTV17,http://223.10.20.174:8083/udp/239.1.1.23:8023
CCTV1,http://171.217.132.106:4022/udp/239.93.0.58:5140 
CCTV2,http://171.217.132.106:4022/udp/239.93.1.23:6000 
CCTV3,http://171.217.132.106:4022/udp/239.93.0.109:5140 
CCTV4,http://171.217.132.106:4022/udp/239.93.1.105:5140 
CCTV5,http://171.217.132.106:4022/udp/239.93.42.37:5140 
CCTV6,http://171.217.132.106:4022/udp/239.93.42.38:5140 
CCTV7,http://171.217.132.106:4022/udp/239.93.1.67:5140 
CCTV8,http://171.217.132.106:4022/udp/239.93.42.39:5140 
CCTV9,http://171.217.132.106:4022/udp/239.93.1.24:5140 
CCTV10,http://171.217.132.106:4022/udp/239.93.1.28:5140 
CCTV11,http://171.217.132.106:4022/udp/239.93.0.102:5140 
CCTV12,http://171.217.132.106:4022/udp/239.93.1.30:8124 
CCTV13,http://171.217.132.106:4022/udp/239.93.0.66:5140 
CCTV14,http://171.217.132.106:4022/udp/239.93.1.29:6000 
CCTV15,http://171.217.132.106:4022/udp/239.93.0.103:5140 
CCTV17,http://171.217.132.106:4022/udp/239.93.0.92:5140 
CCTV5＋,http://171.217.132.106:4022/udp/239.93.1.36:8004
CCTV-4K超清,http://27.222.3.214/liveali-tp4k.cctv.cn/live/4K10M.stream/playlist.m3u8
CCTV-4K超清,http://27.222.3.214/liveali-tp4k.cctv.cn/live/4K10M.stream/1.m3u8
1905国外电影,http://php.jdshipin.com:8880/1905.php?id=1905dy2
1905国内电影,http://php.jdshipin.com:8880/1905.php?id=1905dy

卫视,#genre#
北京卫视,http://123.121.167.231:8180/udp/239.3.1.241:8000
湖南卫视,http://123.121.167.231:8180/udp/239.3.1.132:8012
东方卫视,http://123.121.167.231:8180/udp/239.3.1.136:8032
浙江卫视,http://123.121.167.231:8180/udp/239.3.1.137:8036
江苏卫视,http://123.121.167.231:8180/udp/239.3.1.135:8028
深圳卫视,http://123.121.167.231:8180/udp/239.3.1.134:8020
广东卫视,http://123.121.167.231:8180/udp/239.3.1.142:8048
安徽卫视,http://123.121.167.231:8180/udp/239.3.1.211:8064
天津卫视,http://123.121.167.231:8180/udp/239.3.1.141:1234
重庆卫视,http://123.121.167.231:8180/udp/239.3.1.122:8160
山东卫视,http://123.121.167.231:8180/udp/239.3.1.209:8052
黑龙江卫视,http://123.121.167.231:8180/udp/239.3.1.133:8016
河北卫视,http://123.121.167.231:8180/udp/239.3.1.148:8072
辽宁卫视,http://123.121.167.231:8180/udp/239.3.1.210:8056
湖北卫视,http://123.121.167.231:8180/udp/239.3.1.138:8044
吉林卫视,http://123.121.167.231:8180/udp/239.3.1.240:8172
贵州卫视,http://123.121.167.231:8180/udp/239.3.1.149:8076
东南卫视,http://123.121.167.231:8180/udp/239.3.1.156:8148
江西卫视,http://123.121.167.231:8180/udp/239.3.1.123:8164
海南卫视,http://123.121.167.231:8180/udp/239.3.1.45:8304
云南卫视,http://123.121.167.231:8180/udp/239.3.1.26:8108
兵团卫视,http://123.121.167.231:8180/udp/239.3.1.144:4120
厦门卫视,http://123.121.167.231:8180/udp/239.3.1.143:4120
四川卫视,http://123.121.167.231:8180/udp/239.3.1.29:8288
南方卫视,http://123.121.167.231:8180/udp/239.3.1.161:8001
宁夏卫视,http://123.121.167.231:8180/udp/239.3.1.46:8124
山西卫视,http://123.121.167.231:8180/udp/239.3.1.42:8172
广西卫视,http://123.121.167.231:8180/udp/239.3.1.39:8300
新疆卫视,http://123.121.167.231:8180/udp/239.3.1.48:8160
河南卫视,http://123.121.167.231:8180/udp/239.3.1.27:8128
甘肃卫视,http://123.121.167.231:8180/udp/239.3.1.49:8188
西藏卫视,http://123.121.167.231:8180/udp/239.3.1.47:8164
三沙卫视,http://123.121.167.231:8180/udp/239.3.1.155:4120
陕西卫视,http://123.121.167.231:8180/udp/239.3.1.41:8140
青海卫视,http://123.121.167.231:8180/udp/239.3.1.44:8184
内蒙古卫视,http://123.121.167.231:8180/udp/239.3.1.43:8176
山西卫视,http://223.10.20.174:8083/udp/239.1.1.1:8001
湖南卫视,http://223.10.20.174:8083/udp/239.1.1.28:8028
四川卫视,http://223.10.20.174:8083/udp/239.1.1.29:8029
吉林卫视,http://223.10.20.174:8083/udp/239.1.1.30:8030
东方卫视,http://223.10.20.174:8083/udp/239.1.1.31:8031
湖北卫视,http://223.10.20.174:8083/udp/239.1.1.32:8032
东南卫视,http://223.10.20.174:8083/udp/239.1.1.33:8033
河南卫视,http://223.10.20.174:8083/udp/239.1.1.34:8034
江苏卫视,http://223.10.20.174:8083/udp/239.1.1.35:8035
重庆卫视,http://223.10.20.174:8083/udp/239.1.1.36:8036
黑龙江卫视,http://223.10.20.174:8083/udp/239.1.1.37:8037
浙江卫视,http://223.10.20.174:8083/udp/239.1.1.38:8038
深圳卫视,http://223.10.20.174:8083/udp/239.1.1.39:8039
广西卫视,http://223.10.20.174:8083/udp/239.1.1.40:8040
北京卫视,http://223.10.20.174:8083/udp/239.1.1.41:8041
辽宁卫视,http://223.10.20.174:8083/udp/239.1.1.42:8042
贵州卫视,http://223.10.20.174:8083/udp/239.1.1.43:8043
安徽卫视,http://223.10.20.174:8083/udp/239.1.1.44:8044
天津卫视,http://223.10.20.174:8083/udp/239.1.1.46:8046
山东卫视,http://223.10.20.174:8083/udp/239.1.1.47:8047
